Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,LZJ-A1-,LZJ-B1-,LZJ-C1-,LZJ-D1-,LZJ-QC3-,LZJ-A1-,LZJ-B1-,LZJ-C1-,LZJ-D1-,LZJ-QC3-,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
0.85_342.1151n,342.1150622,341.1077858,1,0.845766667,0.9113,0,4.649783103,Condition 1,Condition 4,100 - 12.7 - 3.31 - 0.718 - 0.495 - 0.306,26728.59044,---,26728.59044,10331.79194,10699.30409,5748.352095,11288.08388,22870.52652,9651.527054,11200.28139,6221.572013,11288.08388,,,"M-H, M+HCOO",,,,,,,
0.85_392.1183n,392.1183337,391.1110573,1,0.845766667,1.409816667,0,3.24353056,Condition 3,Condition 1,100 - 23.4,911.1340716,---,280.90812,419.3124251,911.1340716,616.8306596,644.0349853,240.3612199,391.7040953,953.796424,667.6098306,644.0349853,,,"M-H, M+HCOO",,,,,,,
0.85_504.1671n,504.1671175,503.1598411,1,0.845766667,0.640316667,0,1.63474585,Condition 3,Condition 4,100 - 21.1 - 28.2 - 9.01 - 7.48,1988.126194,---,1688.668167,1565.398662,1988.126194,1216.168369,1490.562944,1444.922065,1462.329829,2081.216929,1316.286644,1490.562944,,,"M-H, M+HCOO",,,,,,,
1.34_306.1275n,306.1274837,351.1248209,1,1.337966667,1.6373,0,6.371257021,Condition 4,Condition 1,100 - 87.3 - 13.9 - 1.84,2899.222394,---,455.047157,1120.046086,2205.743864,2899.222394,1598.69725,389.3646428,1046.300116,2309.024187,3137.894236,1598.69725,,,"M-H, M+HCOO",,,,,,,
1.34_126.0328n,126.0328098,171.0661928,1,1.337966667,0.271516667,0,20.47421163,Condition 4,Condition 1,100 - 16.5,101.7487447,---,4.96960501,54.19849957,92.91349826,101.7487447,70.97611859,4.252281219,50.62996699,97.26401979,110.124977,70.97611859,,,"M-H, M+HCOO",,,,,,,
1.83_698.2151n,698.2151021,743.2355179,1,1.827566667,1.311116667,0,1.540940265,Condition 3,Condition 2,100 - 38.1 - 32.6,1658.415288,---,1255.001206,1076.235936,1658.415288,1480.815123,1353.96606,1073.851553,1005.374509,1736.067853,1602.719835,1353.96606,,,"M-H, M+HCOO",,,,,,,
4.00_330.1041n,330.1041429,375.1626781,1,4.000766667,0.820533333,0,4.399015016,Condition 4,Condition 1,100 - 17.8,990.395502,---,225.1402868,551.6614701,724.0442444,990.395502,580.3688312,192.6430393,515.3390268,757.9464237,1071.927543,580.3688312,,,"M-H, M+HCOO",,,,,,,
4.22_531.1302n,531.1301505,576.2063696,1,4.219483333,0.812266667,0,3.749457459,Condition 4,Condition 1,100 - 91.9 - 14.8,415.3284884,---,110.7702896,238.8916754,327.2769085,415.3284884,255.6884084,94.78146069,223.1625918,342.6011108,449.5194547,255.6884084,,,"M-H, M+HCOO",,,,,,,
4.71_432.1073n,432.107292,477.1948912,1,4.709683333,1.455116667,0,4.069659731,Condition 4,Condition 1,100 - 21.9 - 1.11,1300.371934,---,319.5284175,664.6256126,868.769589,1300.371934,832.2733837,273.4069782,620.8653947,909.4482942,1407.422074,832.2733837,,,"M-H, M+HCOO",,,,,,,
4.55_534.2623n,534.2623216,579.2600379,1,4.551783333,1.31105,0,3.960609351,Condition 4,Condition 1,100 - 24 - 33.5 - 3.39,3614.622285,---,912.642971,2049.446646,2898.720717,3614.622285,2397.881864,780.9100638,1914.50717,3034.44854,3912.187784,2397.881864,,,"M-H, M+HCOO",,,,,,,
5.14_842.3002n,842.3002123,887.3515974,1,5.1392,1.276,0,14.63885419,Condition 4,Condition 1,100 - 35.2 - 8.72 - 2.28,4969.249521,---,339.45618,1641.685805,4207.207746,4969.249521,2480.532596,290.4583233,1533.594081,4404.20332,5378.331604,2480.532596,,,"M-H, M+HCOO",,,,,,,
5.09_1024.3174n,1024.317363,1069.338034,1,5.086483333,1.569866667,0,2.836104936,Condition 4,Condition 1,100 - 43.1 - 26.7 - 6.24 - 6.15 - 1.38,5161.322547,---,1819.863039,4212.700862,4755.040661,5161.322547,4091.21463,1557.179978,3935.328602,4977.687609,5586.216602,4091.21463,,,"M-H, M+HCOO",,,,,,,
